"","churned","CreationDatePeriods","Company_Number","total_products","total_transactions","total_revenue","total_usage","total_accounts"
"7102","No","2010 - 2014",331640,1,21,4108.2,0,1
"7103","No","2010 - 2014",331656,1,50,949.54,6876,1
"7104","Yes","2010 - 2014",331662,3,39,1824.16,17976,1
"7105","No","2010 - 2014",331663,2,45,4620.17,25687,1
"7106","No","2010 - 2014",331686,1,10,139.63,3421,1
"7107","No","2010 - 2014",331690,1,37,1102.5,4350,1
"7108","No","2010 - 2014",331694,3,89,16118.08,108380,1
"7109","No","2010 - 2014",331794,1,4,177.09,488,1
"7110","No","2010 - 2014",331815,1,27,504.12,3620,1
"7111","No","2010 - 2014",331832,1,62,959.81,6656,1
"7112","No","2010 - 2014",331865,1,13,92.24,809,1
"7113","No","2010 - 2014",331866,2,118,40646.71,381409,1
"7114","No","2010 - 2014",331888,1,52,855.71,20984,1
"7115","No","2010 - 2014",331901,4,145,26183.99,178737,1
"7116","Yes","2010 - 2014",331911,1,31,1891.24,8850,1
"7117","No","2010 - 2014",331917,5,209,93158.46,1007149,1
"7118","No","2010 - 2014",331918,5,155,118672.06,785885,8
"7119","No","2010 - 2014",331922,7,193,92040.79,1327460,1
"7120","No","2010 - 2014",331958,1,32,871.69,5695,1
"7121","No","2010 - 2014",331982,1,14,-23.43,0,1
"7122","No","2010 - 2014",331992,1,30,512.44,3743,1
"7123","No","2010 - 2014",332008,1,2,26.74,219,1
"7124","No","2010 - 2014",332025,1,17,888.4,17779,3
"7125","No","2010 - 2014",332026,3,70,12920.23,64467,16
"7126","No","2010 - 2014",332043,1,2,3.42,2,1
"7127","Yes","2010 - 2014",332063,1,33,422.8,4029,1
"7128","No","2010 - 2014",332205,1,32,2314.03,4507,1
"7129","Yes","2010 - 2014",332223,1,37,224.19,2905,1
"7130","No","2010 - 2014",332231,1,71,3388.64,32221,1
"7131","No","2010 - 2014",332270,1,28,2841.73,53440,1
"7132","No","2010 - 2014",332301,1,15,11.74,1609,1
"7133","No","2010 - 2014",332311,2,25,577.19,4681,3
"7134","Yes","2010 - 2014",332319,1,14,1483.84,12560,1
"7135","No","2010 - 2014",332369,1,16,0,0,1
"7136","No","2010 - 2014",332384,1,21,853.6,5669,2
"7137","No","2010 - 2014",332388,1,34,7833.54,61130,1
"7138","Yes","2010 - 2014",332412,1,38,3315.57,42308,1
"7139","No","2010 - 2014",332413,1,30,510.18,8503,1
"7140","No","2010 - 2014",332426,2,52,3753.94,25073,1
"7141","No","2010 - 2014",332427,2,151,237013.9,2959734,1
"7142","No","2010 - 2014",332460,1,10,109.35,2187,1
"7143","No","2010 - 2014",332463,4,175,19828.26,559233,2
"7144","No","2010 - 2014",332465,4,107,36532.03,3138417,1
"7145","No","2010 - 2014",332494,1,18,113.66,2124,1
"7146","No","2010 - 2014",332502,1,16,0,0,1
"7147","No","2010 - 2014",332511,1,70,2595.03,15130,1
"7148","No","2010 - 2014",332531,1,7,19.64,155,1.70087613981261
"7149","No","2010 - 2014",332535,1,35,2271.57,121461,1
